DepartmentID,DepartmentName,Division,DivisionHead,LocationHQ,LocationCount,EstablishedYear,Budget_Million
1101,Sales & Marketing,Commercial,Michael Rodriguez,Atlanta,28,1985,450.00
1102,Supply Chain,Operations,Sarah Chen,Dallas,22,1988,380.00
1103,Research & Development,Innovation,David Kim,Atlanta,15,1990,320.00
1104,Finance & Accounting,Corporate,Jennifer Wilson,Atlanta,12,1975,280.00
1105,Human Resources,Corporate,Robert Johnson,Atlanta,18,1980,220.00
1106,Information Technology,Corporate,James Miller,Atlanta,25,1995,350.00
1107,Global Sales,Commercial,Maria Garcia,New York,35,2000,520.00
1108,Marketing & Brand,Commercial,Thomas Brown,Chicago,20,1992,310.00
1109,Logistics & Distribution,Operations,Patricia Davis,Houston,18,1995,290.00
1110,Manufacturing & Production,Operations,Christopher Martinez,Los Angeles,24,1987,420.00
1111,Quality Assurance,Operations,Elizabeth Anderson,Atlanta,14,1993,180.00
1112,Product Development,Innovation,Daniel Taylor,San Francisco,16,1998,270.00
1113,Packaging Innovation,Innovation,Jennifer Thomas,Miami,10,2005,160.00
1114,Corporate Strategy,Corporate,Matthew Moore,Atlanta,8,2002,150.00
1115,Legal & Compliance,Corporate,Amanda Jackson,Washington DC,12,1990,190.00
1116,Investor Relations,Corporate,Joseph White,New York,6,2001,90.00
1117,Public Affairs & Communications,Corporate,Michelle Harris,Atlanta,10,1996,140.00
1118,Digital Transformation,Information Technology,Richard Martin,San Jose,18,2010,310.00
1119,Data Analytics & BI,Information Technology,Charles Thompson,Atlanta,15,2012,250.00
1120,Cyber Security,Information Technology,Susan Garcia,Dallas,12,2015,220.00
1121,Talent Acquisition,Human Resources,Barbara Martinez,Atlanta,14,2000,180.00
1122,Learning & Development,Human Resources,William Robinson,Miami,12,2003,160.00
1123,Compensation & Benefits,Human Resources,Margaret Clark,Atlanta,10,1998,190.00
1124,Employee Relations,Human Resources,David Rodriguez,Chicago,15,1995,170.00
1125,Procurement & Sourcing,Supply Chain,Jessica Lewis,Detroit,16,2001,240.00
1126,Inventory Management,Supply Chain,Kevin Lee,Memphis,14,1999,210.00
1127,Environmental Sustainability,Operations,Lisa Walker,Seattle,10,2008,120.00
1128,Regional Operations APAC,Operations,Kenneth Hall,Singapore,22,2004,380.00
1129,Regional Operations EMEA,Operations,Nancy Allen,London,25,2003,410.00
1130,Regional Operations Americas,Operations,Betty King,Mexico City,30,2002,460.00
